geneID	weight
ENSG00000243485	0
ENSG00000237613	0
ENSG00000186092	1
ENSG00000238009	0
ENSG00000239945	0
ENSG00000239906	0
ENSG00000241599	0
ENSG00000279928	0
ENSG00000279457	0
ENSG00000228463	0
ENSG00000236743	0
ENSG00000236601	0
ENSG00000237094	0
ENSG00000278566	0
ENSG00000230021	0
ENSG00000235146	0
ENSG00000273547	0
ENSG00000229905	0
ENSG00000237491	0
ENSG00000177757	0
ENSG00000225880	0
ENSG00000230368	0
ENSG00000272438	0
ENSG00000230699	0
ENSG00000241180	0
ENSG00000223764	0
ENSG00000187634	1
ENSG00000188976	0.5
ENSG00000187961	1
ENSG00000187583	1
ENSG00000187642	1
ENSG00000272512	0
ENSG00000188290	1
ENSG00000187608	1
ENSG00000224969	0
ENSG00000188157	1
ENSG00000273443	0
ENSG00000237330	1
ENSG00000131591	1
ENSG00000223823	0
ENSG00000272141	0
ENSG00000205231	0
ENSG00000162571	1
ENSG00000186891	1
ENSG00000186827	1
ENSG00000078808	0.5
ENSG00000176022	0.5
ENSG00000184163	1
ENSG00000260179	0
ENSG00000160087	0.5
ENSG00000230415	0
ENSG00000162572	1
ENSG00000131584	0.5
ENSG00000169972	0.5
ENSG00000127054	0.5
ENSG00000224051	1
ENSG00000169962	1
ENSG00000107404	1
ENSG00000162576	1
ENSG00000175756	0
ENSG00000221978	0.5
ENSG00000242485	0
ENSG00000272455	0
ENSG00000235098	1
ENSG00000225905	0
ENSG00000205116	1
ENSG00000225285	0
ENSG00000179403	1
ENSG00000215915	1
ENSG00000160072	0
ENSG00000197785	0
ENSG00000205090	1
ENSG00000160075	0.5
ENSG00000215014	0
ENSG00000279244	0
ENSG00000228594	1
ENSG00000272106	0
ENSG00000197530	1
ENSG00000189409	1
ENSG00000248333	1
ENSG00000272004	0
ENSG00000189339	1
ENSG00000269737	0
ENSG00000008128	1
ENSG00000215790	1
ENSG00000008130	1
ENSG00000078369	0.5
ENSG00000231050	0
ENSG00000169885	1
ENSG00000178821	1
ENSG00000142609	1
ENSG00000233542	0
ENSG00000187730	1
ENSG00000226969	0
ENSG00000067606	1
ENSG00000271806	0
ENSG00000182873	0
ENSG00000162585	1
ENSG00000234396	0
ENSG00000157933	1
ENSG00000116151	1
ENSG00000157916	0.5
ENSG00000157911	1
ENSG00000149527	1
ENSG00000224387	0
ENSG00000229393	0
ENSG00000157881	0.5
ENSG00000197921	1
ENSG00000272449	0
ENSG00000238164	0
ENSG00000157873	1
ENSG00000228037	0
ENSG00000157870	1
ENSG00000142606	1
ENSG00000237058	0
ENSG00000215912	1
ENSG00000233234	0
ENSG00000231630	0
ENSG00000169717	1
ENSG00000177133	0
ENSG00000142611	1
ENSG00000226286	0
ENSG00000272235	0
ENSG00000130762	1
ENSG00000272088	0
ENSG00000162591	1
ENSG00000238260	0
ENSG00000158109	0.5
ENSG00000116213	1
ENSG00000078900	1
ENSG00000227589	0
ENSG00000235131	0
ENSG00000227372	0
ENSG00000162592	1
ENSG00000235169	1
ENSG00000130764	0.5
ENSG00000272153	0
