geneName	geneLengths	SangerProjectTARGET_ALL_phase1_SRR457637
ENSG00000000003	4535	0
ENSG00000000005	1610	0
ENSG00000000419	1207	704.570294003179
ENSG00000000457	6883	324.512881770959
ENSG00000000460	5967	364.235132190781
ENSG00000000938	3474	129.680239971214
ENSG00000000971	8145	5.67312014643697
ENSG00000001036	2793	51.7659201618918
ENSG00000001084	8463	488.939681464754
ENSG00000001167	3811	1271.15365101339
ENSG00000001460	8511	29.3961308138312
ENSG00000001461	9404	375.945701300399
ENSG00000001497	5589	1212.51753030719
ENSG00000001561	4651	12.5953676645665
ENSG00000001617	4826	39.2434182606741
ENSG00000001626	8517	0.468422764384704
ENSG00000001629	7130	1775.83233736147
ENSG00000001630	4074	172.879228242248
ENSG00000001631	6204	728.782546224486
ENSG00000002016	4190	539.77916549264
ENSG00000002079	6346	1.97778500517986
ENSG00000002330	1708	419.071823808084
ENSG00000002549	3785	1246.5874793701
ENSG00000002586	3284	27691.196864208
ENSG00000002587	8166	9.10822041859146
ENSG00000002726	3824	0
ENSG00000002745	3261	12.6682334279152
ENSG00000002746	13965	16.0721055157774
ENSG00000002822	7230	547.607030355247
ENSG00000002834	7061	3624.20774683398
ENSG00000002919	3606	283.166765767935
ENSG00000002933	3479	15.8951458047876
ENSG00000003056	3777	1808.1847362883
ENSG00000003096	6983	1.04093947641045
ENSG00000003137	5015	0
ENSG00000003147	4891	6.93265691289361
ENSG00000003249	4791	30.0935602630262
ENSG00000003393	10384	160.554504841548
ENSG00000003400	7598	5885.16992717654
ENSG00000003402	22529	5403.14208383515
ENSG00000003436	11714	3.97638879988793
ENSG00000003509	3651	437.329902224323
ENSG00000003756	10368	11879.1804860066
ENSG00000003987	5692	121.685824792382
ENSG00000003989	7905	0.520469738205226
ENSG00000004059	1871	1676.9951340763
ENSG00000004139	11137	273.725444716893
ENSG00000004142	2121	1476.08340573431
ENSG00000004399	9738	6558.36630536071
ENSG00000004455	5727	1913.4237173534
ENSG00000004468	6855	5160.70727977916
ENSG00000004478	5180	2308.4810674407
ENSG00000004487	5435	3068.07542216693
ENSG00000004534	7302	3486.40817894677
ENSG00000004660	7424	1772.95934440658
ENSG00000004700	3778	1263.98157802092
ENSG00000004766	9454	448.5304109905
ENSG00000004776	1722	4.02843577370845
ENSG00000004777	5260	1611.30144372003
ENSG00000004779	1600	528.370468831182
ENSG00000004799	4519	5.72516712025749
ENSG00000004809	3907	321.525385473661
ENSG00000004838	4009	111.953040687944
ENSG00000004846	9257	1.43649647744642
ENSG00000004848	3097	1.39485889839001
ENSG00000004864	3710	488.231842620795
ENSG00000004866	6742	46.3634442793216
ENSG00000004897	6824	1706.43290246918
ENSG00000004939	5287	68.5250457321001
ENSG00000004948	4042	0.655791870138585
ENSG00000004961	2335	201.119916237264
ENSG00000004975	5350	1328.78006042747
ENSG00000005001	2387	0.208187895282091
ENSG00000005007	8600	2519.8542375206
ENSG00000005020	5520	53.3897857450921
ENSG00000005022	1500	8375.62803388331
ENSG00000005059	3566	933.233468786263
ENSG00000005073	2307	0
ENSG00000005075	1355	914.225913947008
ENSG00000005100	5872	505.407343981567
ENSG00000005102	2707	0.270644263866718
ENSG00000005108	10929	54.9095573806514
ENSG00000005156	12919	1266.67761126482
ENSG00000005175	5381	538.415534778542
ENSG00000005187	7822	185.495414696343
ENSG00000005189	4114	143.97233898233
ENSG00000005194	3509	723.307204578567
ENSG00000005206	7130	3230.91999385658
ENSG00000005238	6409	130.283984867532
ENSG00000005243	1851	0.385147606271867
ENSG00000005249	4318	127.431810702168
ENSG00000005302	6496	1455.02520012653
ENSG00000005339	15492	13862.367967069
ENSG00000005379	11354	7417.9637155857
ENSG00000005381	3526	428.211272410968
ENSG00000005421	2832	0
ENSG00000005436	5465	649.410911148189
ENSG00000005448	2860	328.510089360375
ENSG00000005469	4979	192.282340082539
ENSG00000005471	7494	36.7139353329967
ENSG00000005483	9231	21455.0741925597
ENSG00000005486	2441	659.05001069975
ENSG00000005513	4432	3.66410695696479
ENSG00000005700	8722	1739.67009995097
ENSG00000005801	5709	1094.59990641941
ENSG00000005810	15945	14577.8681255745
ENSG00000005812	7082	2186.76401446402
ENSG00000005844	6472	2345.66342553808
ENSG00000005882	5481	233.232899084526
ENSG00000005884	9802	19.2990178926498
ENSG00000005889	9037	2563.44878279267
ENSG00000005893	5526	2019.82855063208
ENSG00000005961	5551	17.5086019932238
ENSG00000005981	4605	0
ENSG00000006007	4416	1423.79701583422
ENSG00000006015	3370	586.715126483988
ENSG00000006016	3018	202.806238189048
ENSG00000006025	6572	892.24127220522
ENSG00000006042	5187	2.80012719154412
ENSG00000006047	4618	5.83967046266264
ENSG00000006059	1287	0.520469738205226
ENSG00000006062	5852	675.309485321281
ENSG00000006071	6778	0
ENSG00000006116	3088	0
ENSG00000006118	7271	15.936783383844
ENSG00000006125	7587	6751.35648428721
ENSG00000006128	1888	0
ENSG00000006194	6945	1439.70257103377
ENSG00000006210	5983	1.48854345126695
ENSG00000006282	5337	150.530257683716
ENSG00000006283	9709	1.78000650466187
ENSG00000006327	1848	39.836753762228
ENSG00000006377	3449	1.95696621565165
ENSG00000006432	12386	34.756969117345
ENSG00000006451	3665	423.808098425752
ENSG00000006453	4798	60.6971808694935
ENSG00000006459	9430	1235.04346057671
ENSG00000006468	9616	0.312281842923136
ENSG00000006530	6547	765.46525337319
ENSG00000006534	6626	112.962751980062
ENSG00000006555	6055	9.4205022615146
ENSG00000006576	8646	1262.35771243772
ENSG00000006606	706	0
ENSG00000006607	14413	931.609603203063
ENSG00000006611	4904	0.718248238723212
ENSG00000006625	1597	384.304445295975
ENSG00000006634	4583	637.481744748525
ENSG00000006638	2793	257.278600989607
ENSG00000006652	7489	1282.31252220051
ENSG00000006659	1079	0.364328816743658
ENSG00000006695	3172	281.886410211951
ENSG00000006704	6498	92.6227946110021
ENSG00000006712	2668	1453.75525396531
ENSG00000006715	7801	705.236495268082
ENSG00000006740	9281	25.4301514087074
ENSG00000006744	6345	1630.5380052441
ENSG00000006747	11623	2.88340234965695
ENSG00000006756	7030	463.655261582744
ENSG00000006757	3441	2.22761047951837
ENSG00000006788	6349	0.416375790564181
ENSG00000006831	5878	2401.52023784226
ENSG00000006837	3057	35.8915931466324
ENSG00000007001	2957	0.0832751581128362
ENSG00000007038	1967	0.853570370656571
ENSG00000007047	6668	1070.68952664626
ENSG00000007062	7434	78.0496419412557
ENSG00000007080	1660	852.550249969689
ENSG00000007129	1964	694.035986501905
ENSG00000007168	8127	3993.46020730106
ENSG00000007171	4176	29.5418623405286
ENSG00000007174	16980	2.57112050673382
ENSG00000007202	9235	7471.20776980409
ENSG00000007216	3226	0.208187895282091
ENSG00000007237	10100	9846.267326156
ENSG00000007255	933	451.694866998788
ENSG00000007264	4141	121.571321449977
ENSG00000007306	2649	0
ENSG00000007312	2080	12331.0627221111
ENSG00000007314	8247	609.480472833084
ENSG00000007341	8111	421.226568524254
ENSG00000007350	3650	20.8604271072655
ENSG00000007372	14782	80.1523396836049
ENSG00000007376	2769	737.828310274493
ENSG00000007384	4914	41.3565253977873
ENSG00000007392	6176	2117.20843865028
ENSG00000007402	6322	41.0130153705718
ENSG00000007516	6146	257.403513726777
ENSG00000007520	1243	518.502362594811
ENSG00000007541	7904	728.147573143876
ENSG00000007545	8373	4475.05085606236
ENSG00000007866	3046	30.7805803174571
ENSG00000007908	4585	0
ENSG00000007923	5083	904.316170131581
ENSG00000007933	3463	3.20609358734419
ENSG00000007944	3033	4294.85382330094
ENSG00000007952	2529	0.55169792249754
ENSG00000007968	5457	3111.56587349136
ENSG00000008018	2256	3665.4393594946
ENSG00000008056	3209	5.07978464488301
ENSG00000008083	6015	2246.94072559531
ENSG00000008086	17075	68.0774417572436
ENSG00000008118	2676	0.208187895282091
ENSG00000008128	4701	1937.38614410037
ENSG00000008130	5570	1705.75629180952
ENSG00000008196	6149	0.270644263866718
ENSG00000008197	1856	0
ENSG00000008226	8338	258.975332336156
ENSG00000008256	5808	2398.70970125595
ENSG00000008277	12199	52.4113026372663
ENSG00000008282	2804	985.217986238201
ENSG00000008283	5320	441.181378287042
ENSG00000008294	11963	3132.78022002061
ENSG00000008300	13895	81.9219367935026
ENSG00000008311	4591	37.8069217832276
ENSG00000008323	4260	29.8957817625082
ENSG00000008324	1301	358.447508701939
ENSG00000008382	2049	298.052200280605
ENSG00000008394	7440	1.47813405650284
ENSG00000008405	5062	1048.42383124584
ENSG00000008438	720	2.81053658630822
ENSG00000008441	6302	1673.15406740834
ENSG00000008513	8729	5044.34065571123
ENSG00000008516	4126	140.818292368806
ENSG00000008517	3209	328.062485385518
ENSG00000008710	18608	5463.56862044078
ENSG00000008735	5901	11.2733745295252
ENSG00000008838	6962	2738.98240669977
ENSG00000008853	6580	121.508865081392
ENSG00000008869	8206	1985.20690364667
ENSG00000008952	7928	2526.02700861572
ENSG00000008988	3002	14773.6896598768
ENSG00000009307	5778	26728.2653921598
ENSG00000009335	9220	1516.60717955097
ENSG00000009413	12425	2527.65087419892
ENSG00000009694	12896	51.182994055102
ENSG00000009709	6313	0.2290066848103
ENSG00000009724	4251	243.600656269574
ENSG00000009765	10362	0.489241553912913
ENSG00000009780	4034	351.587717552394
ENSG00000009790	7750	1529.19213782078
ENSG00000009830	10008	595.094689269092
ENSG00000009844	7262	752.484738102352
ENSG00000009950	4815	1.3844495036259
ENSG00000009954	7053	2904.42932708045
ENSG00000010017	3347	3616.20292226038
ENSG00000010030	2374	111.349295791626
ENSG00000010072	5906	524.581449137048
ENSG00000010165	3827	137.726702123867
ENSG00000010219	7054	131.918259845497
ENSG00000010244	15842	15016.46797396
ENSG00000010256	3236	2494.95496524486
ENSG00000010270	4348	1010.50240612021
ENSG00000010278	3299	9920.42385445548
ENSG00000010282	2891	0.2290066848103
ENSG00000010292	6487	2246.40984646234
ENSG00000010295	5203	700.729227335224
ENSG00000010310	4736	3.57042240408785
ENSG00000010318	3367	156.963263647932
ENSG00000010319	5011	9.17067678717609
ENSG00000010322	9161	3586.93170418372
ENSG00000010327	10588	125.984904829957
ENSG00000010361	2950	351.17134176183
ENSG00000010379	4243	0.208187895282091
ENSG00000010404	9292	4130.88503697677
ENSG00000010438	1664	0.364328816743658
ENSG00000010539	7498	52.8380878225946
ENSG00000010610	4583	92.2376470047302
ENSG00000010626	3054	193.19836682178
ENSG00000010671	4575	3577.06359794735
ENSG00000010704	5675	11.6377033462689
ENSG00000010803	4447	2757.39662603747
ENSG00000010810	7411	1928.55897734041
ENSG00000010818	9774	3453.84759212465
ENSG00000010932	3602	12.345542190228
ENSG00000011007	5391	1166.90356245088
ENSG00000011009	2196	430.470111074779
ENSG00000011021	6938	1587.63048002646
ENSG00000011028	6860	2.24842926904658
ENSG00000011052	1241	4934.43826579182
ENSG00000011083	4391	0.208187895282091
ENSG00000011105	5714	63.830408693489
ENSG00000011114	11333	1295.94882934149
ENSG00000011132	5556	507.437175960567
ENSG00000011143	4078	91.6755396874686
ENSG00000011198	3172	116.345805278396
